date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:34:41	1549/1549	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Oct%202014%2016:34:41%20GMT	http://cambridgemun.org/robots.txt		(from )
20:34:41	2016/2016	---M--	200	added ('OK')	text/html	etag:%22e51bce926bd3cf1:0%22	http://cambridgemun.org/	C:/Users/user/Desktop/Test/cambridgemun.org/index.html	(from )
20:34:42	10478/10478	---M--	200	added ('OK')	text/html	etag:%2251a12fb86bd3cf1:0%22	http://cambridgemun.org/HOME.html	C:/Users/user/Desktop/Test/cambridgemun.org/HOME.html	(from http://cambridgemun.org/)
20:35:12	747112/747112	---M--	200	added ('OK')	image/jpeg	etag:%223e64a756cd3cf1:0%22	http://cambridgemun.org/backgindex.jpg	C:/Users/user/Desktop/Test/cambridgemun.org/backgindex.jpg	(from http://cambridgemun.org/)
20:35:12	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22e591b2d06bd3cf1:0%22	http://cambridgemun.org/favicon%20(1).ico	C:/Users/user/Desktop/Test/cambridgemun.org/favicon%20(1).ico	(from http://cambridgemun.org/HOME.html)
20:35:13	5980/5980	---M--	200	added ('OK')	text/css	etag:%22dbb9aac6bd3cf1:0%22	http://cambridgemun.org/SpryAssets/SpryMenuBarHorizontal.css	C:/Users/user/Desktop/Test/cambridgemun.org/SpryAssets/SpryMenuBarHorizontal.css	(from http://cambridgemun.org/HOME.html)
20:35:14	22093/22093	---M--	200	added ('OK')	application/x-javascript	etag:%22fb255da96bd3cf1:0%22	http://cambridgemun.org/SpryAssets/SpryMenuBar.js	C:/Users/user/Desktop/Test/cambridgemun.org/SpryAssets/SpryMenuBar.js	(from http://cambridgemun.org/HOME.html)
20:35:16	10158/10158	---M--	200	added ('OK')	text/html	etag:%22a394f2f6cd3cf1:0%22	http://cambridgemun.org/Origin.html	C:/Users/user/Desktop/Test/cambridgemun.org/Origin.html	(from http://cambridgemun.org/HOME.html)
20:35:16	9164/9164	---M--	200	added ('OK')	text/html	etag:%22d4b71ef6cd3cf1:0%22	http://cambridgemun.org/Secretariat.html	C:/Users/user/Desktop/Test/cambridgemun.org/Secretariat.html	(from http://cambridgemun.org/HOME.html)
20:35:17	8745/8745	---M--	200	added ('OK')	text/html	etag:%22deed72126cd3cf1:0%22	http://cambridgemun.org/Advisory%20boarddd.html	C:/Users/user/Desktop/Test/cambridgemun.org/Advisory%20boarddd.html	(from http://cambridgemun.org/HOME.html)
20:35:18	8335/8335	---M--	200	added ('OK')	text/html	etag:%2212f8aa116cd3cf1:0%22	http://cambridgemun.org/Board%20of%20directoor.html	C:/Users/user/Desktop/Test/cambridgemun.org/Board%20of%20directoor.html	(from http://cambridgemun.org/HOME.html)
