date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:06:34	7031/7031	---M--	200	added ('OK')	text/html	etag:%228132db3b6cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html	(from )
20:06:34	1549/1549	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Sep%202014%2016:06:34%20GMT	http://cambridgemun.org/robots.txt		(from )
20:06:36	22093/22093	---M--	200	added ('OK')	application/x-javascript	etag:%229dbb58af6cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/SpryAssets/SpryMenuBar.js	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/SpryAssets/SpryMenuBar.js	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:06:36	5227/5227	---M--	200	added ('OK')	text/css	etag:%2288d166b16cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/SpryAssets/SpryMenuBarVertical.css	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/SpryAssets/SpryMenuBarVertical.css	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:06:38	1549/1549	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Sep%202014%2016:06:37%20GMT	http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/HOME.5.delayed	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:06:38	5443/5443	---M--	200	added ('OK')	text/html	etag:%22ab0f11f6cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/ABOUTUS13.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/ABOUTUS13.html	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:06:39	7240/7240	---M--	200	added ('OK')	text/html	etag:%22a93c69446cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/ORIGIN13.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/ORIGIN13.html	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:06:40	6625/6625	---M--	200	added ('OK')	text/html	etag:%2297a3cb546cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/Secretariat13.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/Secretariat13.html	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:06:40	1549/1549	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Sep%202014%2016:06:39%20GMT	http://cambridgemun.org/CAMUN%2013%20web%20archive/Alumni.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/Alumni.a.delayed	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:06:41	5416/5416	---M--	200	added ('OK')	text/html	etag:%2247be5336cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/Conference13.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/Conference13.html	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:06:44	31749/31749	---M--	200	added ('OK')	application/pdf	etag:%227fe71eaa6cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/What%20is%20MUN.pdf	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/What%20is%20MUN.pdf	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:06:44	7548/7548	---M--	200	added ('OK')	text/html	etag:%2212ab37f6cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/Theme13.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/Theme13.html	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:06:45	8862/8862	---M--	200	added ('OK')	text/html	etag:%22c0894f336cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/Committees13.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/Committees13.html	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:06:46	8632/8632	---M--	200	added ('OK')	text/html	etag:%2299708546cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/schedule13.html	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/schedule13.html	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:06:56	152247/152247	---M--	200	added ('OK')	image/jpeg	etag:%22baea8d226cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/BACKGROUND13.jpg	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/BACKGROUND13.jpg	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
20:07:01	148755/148755	---M--	200	added ('OK')	image/jpeg	etag:%2241c197436cd3cf1:0%22	http://cambridgemun.org/CAMUN%2013%20web%20archive/NEW-banner.jpg	C:/My%20Web%20Sites/Archive/cambridgemun.org/CAMUN%2013%20web%20archive/NEW-banner.jpg	(from http://cambridgemun.org/CAMUN%2013%20web%20archive/HOME13.html)
